42966      '72,999'    19.08.2017
42967      '73'        20.08.2017
42968      '73,1655'   21.08.2017
42969      '73,326'    22.08.2017
42970      '74,7623'   23.08.2017
42971      '75,1'      24.08.2017
42972      '74,805'    25.08.2017
42973      '76,2'      26.08.2017
42974      '77,0394'   27.08.2017
42975      '76,6724'   28.08.2017
42976      '76,0647'   29.08.2017
42977      '77,6411'   30.08.2017
42978      '79,2942'   31.08.2017
42979      '78,5908'   01.09.2017
42980      '81,3906'   02.09.2017
42981      '82,6813'   03.09.2017
42982      '78,045'    04.09.2017
42983      '80,0649'   05.09.2017
42984      '78,3342'   06.09.2017
42985      '77,6556'   07.09.2017
42986      '76,3787'   08.09.2017
42987      '75,4644'   09.09.2017
42988      '77,3094'   10.09.2017
42989      '79,7542'   11.09.2017
42990      '76,8869'   12.09.2017
42991      '76,908'    13.09.2017
42992      '77,4872'   14.09.2017
42993      '78,5509'   15.09.2017
42994      '79,7087'   16.09.2017
42995      '78,6429'   17.09.2017
42996      '79,5917'   18.09.2017
42997      '78,3558'   19.09.2017
42998      '76,9807'   20.09.2017
42999      '77,8876'   21.09.2017
43000      '75,04'     22.09.2017
43001      '76,4278'   23.09.2017
43002      '76,9937'   24.09.2017
43003      '77,0453'   25.09.2017
43004      '75,3462'   26.09.2017
43005      '75,7421'   27.09.2017
43006      '75,3641'   28.09.2017
43007      '76,1883'   29.09.2017
43008      '75,1682'   30.09.2017
43009      '73,3731'   01.10.2017
43010      '73,0278'   02.10.2017
43011      '73,162'    03.10.2017
43012      '72,0326'   04.10.2017
43013      '71,4779'   05.10.2017
43014      '71,1102'   06.10.2017
43015      '71,4291'   07.10.2017
43016      '69,9192'   08.10.2017
43017      '69,9772'   09.10.2017
43018      '71,0474'   10.10.2017
43019      '69,1734'   11.10.2017
43020      '68,0758'   12.10.2017
43021      '68,3703'   13.10.2017
43022      '67,8348'   14.10.2017
43023      '67,4914'   15.10.2017
43024      '68,7234'   16.10.2017
43025      '68,5601'   17.10.2017
43026      '68,447'    18.10.2017
43027      '68,5128'   19.10.2017
43028      '68,0899'   20.10.2017
43029      '68,244'    21.10.2017
43030      '67,0288'   22.10.2017
43031      '67,5855'   23.10.2017
43032      '68,7464'   24.10.2017
43033      '68,5667'   25.10.2017
43034      '67,6066'   26.10.2017
43035      '67,9942'   27.10.2017
43036      '67,1262'   28.10.2017
43037      '66,7928'   29.10.2017
43038      '65,7183'   30.10.2017
43039      '66,2975'   31.10.2017
43040      '66,1361'   01.11.2017
43041      '66,405'    02.11.2017
43042      '66,0847'   03.11.2017
43043      '65,8547'   04.11.2017
43044      '65,1893'   05.11.2017
43045      '66,8337'   06.11.2017
43046      '66,4792'   07.11.2017
43047      '66,5674'   08.11.2017
43048      '65,1825'   09.11.2017
43049      '65,1325'   10.11.2017
43050      '64,701'    11.11.2017
43051      '64,6542'   12.11.2017
43052      '66,5318'   13.11.2017
43053      '65,8616'   14.11.2017
43054      '65,947'    15.11.2017
43055      '66,2856'   16.11.2017
43056      '64,9921'   17.11.2017
43057      '64,8982'   18.11.2017
43058      '65,4546'   19.11.2017
43059      '64,8914'   20.11.2017
43060      '64,7376'   21.11.2017
43061      '65,9901'   22.11.2017
43062      '66,779'    23.11.2017
43063      '66,7833'   24.11.2017
43064      '66,826'    25.11.2017
43065      '66,1799'   26.11.2017
43066      '65,4961'   27.11.2017
43067      '65,8146'   28.11.2017
43068      '66,1168'   29.11.2017
43069      '65,7944'   30.11.2017
43070      '66,6968'   01.12.2017
43071      '67,1015'   02.12.2017
43072      '66,972'    03.12.2017
43073      '65,6149'   04.12.2017
43074      '65,2693'   05.12.2017
43075      '64,6133'   06.12.2017
43076      '63,6131'   07.12.2017
43077      '64,3363'   08.12.2017
43078      '65,2705'   09.12.2017
43079      '66,1385'   10.12.2017
43080      '65,5585'   11.12.2017
43081      '65,7658'   12.12.2017
43082      '64,8461'   13.12.2017
43083      '64,2835'   14.12.2017
43084      '63,7824'   15.12.2017
43085      '64,8807'   16.12.2017
43086      '63,83'     17.12.2017
43087      '65,2733'   18.12.2017
43088      '65,4441'   19.12.2017
43089      '64,078'    20.12.2017
43090      '63,8232'   21.12.2017
43091      '63,9731'   22.12.2017
43092      '63,804'    23.12.2017
43093      '63,9291'   24.12.2017
43094      '64,3284'   25.12.2017
43095      '64,2031'   26.12.2017
43096      '64,5625'   27.12.2017
43097      '63,9669'   28.12.2017
43098      '64,1963'   29.12.2017
43099      '63,8928'   30.12.2017
